Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,-12652.2314453125,-56309.82421875,-16462.208984375,4860.13916015625,-44981.76953125,-31161.978515625,4011.631591796875,-24277.474609375
0.004,-11663.794921875,-56629.6875,-17616.15234375,6138.08740234375,-45535.16796875,-30369.80859375,4241.15625,-25669.291015625
0.008,-11237.193359375,-56979.13671875,-18047.884765625,6678.2958984375,-45775.23046875,-30034.068359375,4389.8818359375,-26010.396484375
0.012,-12345.8408203125,-56599.64453125,-16720.990234375,5216.7421875,-45155.8359375,-30857.73046875,4110.0263671875,-24291.302734375
0.016,-12718.8466796875,-56198.625,-16336.8486328125,4727.86474609375,-44852.7109375,-31163.384765625,3982.2578125,-24037.865234375
0.02,-11821.7001953125,-56498.58203125,-17410.115234375,5909.2763671875,-45374.51953125,-30475.978515625,4192.99609375,-25429.203125
0.024,-11206.4609375,-56932.1875,-18079.212890625,6709.38525390625,-45752,-29998.734375,4389.1435546875,-26119.021484375
0.028,-12022.8076171875,-56731.9921875,-17077.068359375,5634.09375,-45317.9609375,-30604.056640625,4201.26953125,-24804.712890625
0.032,-12772.0126953125,-56205.73046875,-16242.3623046875,4655.8857421875,-44830.44921875,-31186.84375,3971.41015625,-23990.349609375
0.036,-12030.888671875,-56378.84375,-17113.28125,5623.57958984375,-45233.70703125,-30640.916015625,4138.8037109375,-25142.171875
0.04,-11304.4033203125,-56804.65625,-17944.599609375,6572.67578125,-45683.1484375,-30080.390625,4344.41650390625,-26071.291015625
0.044,-11731.982421875,-56811,-17424.609375,6020.18896484375,-45471.67578125,-30390.052734375,4285.40771484375,-25308.15625
0.048,-12673.8798828125,-56290.9609375,-16356.2314453125,4795.81396484375,-44907.48046875,-31092.62109375,4024.768310546875,-24089.265625
0.052,-12220.669921875,-56303.38671875,-16860.775390625,5370.8076171875,-45135.86328125,-30785.82421875,4082.799560546875,-24860.98046875
0.056,-11543.7529296875,-56619.71875,-17628.697265625,6243.4912109375,-45531.63671875,-30264.76171875,4246.99853515625,-25782.73046875
0.06,-11573.8876953125,-56817.65625,-17627.57421875,6226.56396484375,-45520.45703125,-30277.015625,4315.2568359375,-25663.99609375
0.064,-12496.5439453125,-56436.5859375,-16615.630859375,5051.49462890625,-45006.92578125,-30943.27734375,4101.7060546875,-24492.16796875
0.068,-12261.84375,-56319.76953125,-16800.119140625,5323.00537109375,-45097.14453125,-30814.197265625,4097.27197265625,-24867.55859375
0.072,-11701.7529296875,-56480.69921875,-17391.15625,6029.10546875,-45428.8984375,-30388.333984375,4184.98583984375,-25654.771484375
0.076,-11504.6513671875,-56754.66796875,-17669.91796875,6311.36962890625,-45532.9921875,-30238.19921875,4315.9013671875,-25917.9375
0.08,-11855.7236328125,-56347.875,-17129.400390625,5862.2841796875,-45347.09375,-30540.255859375,4106.140625,-25624.77734375
0.084,-12262.654296875,-56395.89453125,-16984.583984375,5494.9521484375,-45170.40625,-30797.38671875,4092.455078125,-25317.8125
0.088,-12086.224609375,-56282.8125,-16999.677734375,5640.2451171875,-45255.16796875,-30712.890625,4021.216064453125,-25360.77734375
0.092,-11770.677734375,-56494.95703125,-17420.009765625,6066.56103515625,-45393.3984375,-30488.162109375,4139.3515625,-25925.94921875
0.096,-12056.6142578125,-56578.76171875,-17257.287109375,5772.7578125,-45251.54296875,-30625.443359375,4174.9482421875,-25715.521484375
0.1,-12287.7607421875,-56426.8359375,-17010.333984375,5470.34765625,-45118.0234375,-30804.515625,4092.717529296875,-25342.443359375
0.104,-12143.5185546875,-56332.85546875,-17038.896484375,5580.1396484375,-45207.8125,-30753.068359375,4010.34375,-25200.296875
0.108,-11825.3720703125,-56494.86328125,-17421.74609375,5983.01953125,-45350.89453125,-30539.302734375,4100.1318359375,-25641.46484375
0.112,-11947.966796875,-56608.7734375,-17379.693359375,5894.66162109375,-45292.5234375,-30568.556640625,4174.13671875,-25769.619140625
0.116,-12308.646484375,-56418.5625,-16988.68359375,5449.22412109375,-45095.96875,-30818.943359375,4082.942626953125,-25405.71875
0.12,-12168.9091796875,-56297.85546875,-16967.41796875,5560.3505859375,-45141.41796875,-30775.12109375,4014.4921875,-25462.9375
0.124,-11876.154296875,-56393.82421875,-17263.84375,5905.77197265625,-45245.53125,-30587.79296875,4064.632080078125,-25840.30859375
0.128,-11850.4296875,-56643.25,-17515.662109375,6000.54296875,-45332.60546875,-30522.96875,4178.046875,-25805.212890625
0.132,-12317.0625,-56514.0546875,-17104.916015625,5433.84619140625,-45150.875,-30820.541015625,4074.359375,-25092.4375
0.136,-12200.451171875,-56428.21875,-17102.865234375,5530.4287109375,-45209.9609375,-30799.916015625,4008.57958984375,-25011.375
0.14,-11947.7529296875,-56444.4296875,-17297.578125,5800.22412109375,-45311.1171875,-30644.37109375,4017.68701171875,-25213.625
0.144,-11796.8095703125,-56695.23046875,-17613.462890625,6051.51708984375,-45410.8046875,-30505.109375,4151.2255859375,-25484.921875
0.148,-12319.6376953125,-56548.21875,-17112.806640625,5434.6328125,-45180.4921875,-30818.01171875,4062.00927734375,-24954.84375
0.152,-12219.2158203125,-56417.54296875,-17050.38671875,5517.33984375,-45179.25,-30807.734375,4015.37451171875,-25066.068359375
0.156,-11993.5283203125,-56347.76171875,-17129.73046875,5738.6875,-45234.5859375,-30682.947265625,3990.50732421875,-25368.5
0.16,-11741.3779296875,-56601.86328125,-17534.759765625,6108.09375,-45362.1171875,-30481.484375,4144.28759765625,-25837.662109375
0.164,-12261.271484375,-56519.41796875,-17083.052734375,5502.1044921875,-45145.5859375,-30783.87109375,4072.332763671875,-25324.134765625
0.168,-12240.6982421875,-56390.29296875,-16989.921875,5502.7490234375,-45118.57421875,-30818.01171875,4020.190673828125,-25392.583984375
0.172,-12032.6064453125,-56286.03125,-17025.974609375,5690.36083984375,-45177.53125,-30708.365234375,3981.900390625,-25560.35546875
0.176,-11731.982421875,-56525.59375,-17468.072265625,6105.42333984375,-45321.04296875,-30485.91796875,4132.96240234375,-26046.802734375
0.18,-12162.685546875,-56542.7109375,-17183.828125,5627.91796875,-45190.90625,-30716.087890625,4092.31201171875,-25570.228515625
0.184,-12259.9375,-56404.2109375,-17013.02734375,5489.37353515625,-45125.7734375,-30820.396484375,4023.385498046875,-25436.525390625
0.188,-12088.3955078125,-56272.60546875,-16978.384765625,5622.1005859375,-45179.23046875,-30745.65234375,3967.47607421875,-25504.400390625
0.192,-11758.9482421875,-56488.7109375,-17422.65234375,6055.02197265625,-45308.59375,-30511.572265625,4099.08349609375,-25990.34375
