Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,-200000,-200000,-200000,-200000,761.6043701171875,-200000,28354.265625,698.99560546875
0.004,-200000,-200000,-200000,-200000,745.46337890625,-200000,29780.271484375,685.59649658203125
0.008,-200000,-200000,-200000,-200000,724.4349365234375,-200000,30043.74609375,671.958984375
0.012,-200000,-200000,-200000,-200000,729.2509765625,-200000,28230.57421875,674.8914794921875
0.016,-200000,-200000,-200000,-200000,744.9627685546875,-200000,27602.83984375,682.64013671875
0.02,-200000,-200000,-200000,-200000,738.40625,-200000,29296.375,677.13262939453125
0.024,-200000,-200000,-200000,-200000,724.60186767578125,-200000,29982.521484375,670.50469970703125
0.028,-200000,-200000,-200000,-200000,722.1937255859375,-200000,28409.412109375,673.17498779296875
0.032,-200000,-200000,-200000,-200000,742.34014892578125,-200000,27565.21875,681.87725830078125
0.036,-200000,-200000,-200000,-200000,743.31768798828125,-200000,29036.80859375,677.6810302734375
0.04,-200000,-200000,-200000,-200000,726.79522705078125,-200000,29977.32421875,672.48358154296875
0.044,-200000,-200000,-200000,-200000,718.95135498046875,-200000,28744.724609375,671.19610595703125
0.048,-200000,-200000,-200000,-200000,736.451171875,-200000,27659.037109375,678.5155029296875
0.052,-200000,-200000,-200000,-200000,744.46209716796875,-200000,28722.3125,678.70623779296875
0.056,-200000,-200000,-200000,-200000,730.01397705078125,-200000,29916.646484375,673.7470703125
0.06,-200000,-200000,-200000,-200000,716.3525390625,-200000,29150.96484375,671.50604248046875
0.064,-200000,-200000,-200000,-200000,733.13720703125,-200000,27826.90625,678.0863037109375
0.068,-200000,-200000,-200000,-200000,748.7059326171875,-200000,28366.853515625,679.8505859375
0.072,-200000,-200000,-200000,-200000,730.5384521484375,-200000,29777.98046875,673.2464599609375
0.076,-200000,-200000,-200000,-200000,716.9246826171875,-200000,29573.15625,672.03057861328125
0.08,-200000,-200000,-200000,-200000,726.2230224609375,-200000,30428.171875,670.76690673828125
0.084,-200000,-200000,-200000,-200000,745.98797607421875,-200000,29400.302734375,678.7777099609375
0.088,-200000,-200000,-200000,-200000,727.41522216796875,-200000,30597.234375,673.17498779296875
0.092,-200000,-200000,-200000,-200000,717.4969482421875,-200000,29839.853515625,669.3602294921875
0.096,-200000,-200000,-200000,-200000,731.94512939453125,-200000,28516.556640625,677.37109375
0.1,-200000,-200000,-200000,-200000,747.37078857421875,-200000,29054.931640625,678.20556640625
0.104,-200000,-200000,-200000,-200000,731.0867919921875,-200000,30473.474609375,672.98419189453125
0.108,-200000,-200000,-200000,-200000,716.4716796875,-200000,30269.365234375,671.52978515625
0.112,-200000,-200000,-200000,-200000,730.72918701171875,-200000,28726.009765625,676.22674560546875
0.116,-200000,-200000,-200000,-200000,745.58270263671875,-200000,28721.978515625,678.7777099609375
0.12,-200000,-200000,-200000,-200000,730.77685546875,-200000,30399.087890625,673.31787109375
0.124,-200000,-200000,-200000,-200000,718.56982421875,-200000,30569.24609375,670.24237060546875
0.128,-200000,-200000,-200000,-200000,730.5384521484375,-200000,28867.65234375,674.84375
0.132,-200000,-200000,-200000,-200000,743.74688720703125,-200000,28546.837890625,681.06658935546875
0.136,-200000,-200000,-200000,-200000,733.37567138671875,-200000,30322.103515625,674.51007080078125
0.14,-200000,-200000,-200000,-200000,719.47589111328125,-200000,30762.484375,666.49920654296875
0.144,-200000,-200000,-200000,-200000,727.27215576171875,-200000,29049.27734375,673.5086669921875
0.148,-200000,-200000,-200000,-200000,741.64874267578125,-200000,28469.400390625,680.68505859375
0.152,-200000,-200000,-200000,-200000,735.04461669921875,-200000,30173.115234375,672.29278564453125
0.156,-200000,-200000,-200000,-200000,725.07861328125,-200000,30870.75,670.7430419921875
0.16,-200000,-200000,-200000,-200000,721.31170654296875,-200000,29311.82421875,672.29278564453125
0.164,-200000,-200000,-200000,-200000,738.09637451171875,-200000,28480.578125,679.54071044921875
0.168,-200000,-200000,-200000,-200000,737.833984375,-200000,29945.115234375,675.4637451171875
0.172,-200000,-200000,-200000,-200000,726.53302001953125,-200000,30899.646484375,670.0516357421875
0.176,-200000,-200000,-200000,-200000,718.95135498046875,-200000,29673.912109375,670.6953125
0.18,-200000,-200000,-200000,-200000,736.451171875,-200000,28581.837890625,678.32470703125
0.184,-200000,-200000,-200000,-200000,744.8197021484375,-200000,29637.52734375,677.99102783203125
0.188,-200000,-200000,-200000,-200000,729.2509765625,-200000,30838.609375,672.5311279296875
0.192,-200000,-200000,-200000,-200000,716.61474609375,-200000,30080.490234375,669.16943359375
0.196,-200000,-200000,-200000,-200000,731.87353515625,-200000,28759.552734375,676.8465576171875
0.2,-200000,-200000,-200000,-200000,748.8489990234375,-200000,29289.677734375,680.8758544921875
0.204,-200000,-200000,-200000,-200000,732.8748779296875,-200000,30703.640625,673.81866455078125
