Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06
0,-12652.2314453125,-0.020346099510788918,0.00041396374581381679,8.2792739704018459e-06,-0.55502194166183472,41.444988250732422
0.004,-11663.794921875,-0.17577874660491943,0.030898168683052063,0.00062624260317534208,-0.55487412214279175,2442.80615234375
0.008,-11237.193359375,-0.76731526851654053,0.58877265453338623,0.012401695363223553,-0.55205696821212769,5127.36572265625
0.012,-12345.8408203125,-2.3116259574890137,5.3436150550842285,0.11927399784326553,-0.52648943662643433,5127.36572265625
0.016,-12718.8466796875,-5.4969358444213867,30.216302871704102,0.72360008955001831,-0.38191384077072144,49444.40625
0.02,-11821.7001953125,-11.090240478515625,122.99343109130859,3.1834685802459717,0.20657145977020264,49444.40625
0.024,-11206.4609375,-19.815042495727539,392.63589477539062,11.036186218261719,2.0852119922637939,49444.40625
0.028,-12022.8076171875,-32.244499206542969,1039.707763671875,31.830343246459961,7.0598907470703125,49444.40625
0.032,-12772.0126953125,-48.733909606933594,2374.99365234375,79.330223083496094,18.423498153686523,49444.40625
0.036,-12030.888671875,-69.364913940429688,4811.4912109375,175.56002807617188,41.444988250732422,49444.40625
0.04,-11304.4033203125,-93.886940002441406,8814.7578125,351.85516357421875,83.620849609375,49444.40625
0.044,-11731.982421875,-121.68355560302734,14806.8876953125,647.99298095703125,154.46723937988281,49444.40625
0.048,-12673.8798828125,-151.78031921386719,23037.265625,1108.73828125,264.693359375,49444.40625
0.052,-12220.669921875,-182.873046875,33442.55078125,1777.5892333984375,424.70556640625,49444.40625
0.056,-11543.7529296875,-213.36286926269531,45523.7109375,2688.063720703125,642.5223388671875,49444.40625
0.06,-11573.8876953125,-241.41218566894531,58279.84375,3853.66015625,921.37322998046875,49444.40625
0.064,-12496.5439453125,-265.02972412109375,70240.75,5258.4755859375,1257.4534912109375,49444.40625
0.068,-12261.84375,-282.16543579101562,79617.3359375,6850.82275390625,1638.3978271484375,49444.40625
0.072,-11701.7529296875,-290.80307006835938,84566.421875,8542.1513671875,2043.0218505859375,49444.40625
0.076,-11504.6513671875,-289.05874633789062,83554.9609375,10213.25,2442.80615234375,49444.40625
0.08,-11855.7236328125,-275.287841796875,75783.3984375,11728.9189453125,2805.40625,49444.40625
0.084,-12262.654296875,-248.18244934082031,61594.5234375,12960.8095703125,3100.1171875,49444.40625
0.088,-12086.224609375,-206.85237121582031,42787.8984375,13816.5673828125,3304.84375,49444.40625
0.092,-11770.677734375,-150.89877319335938,22770.4375,14271.974609375,3413.79296875,49444.40625
0.096,-12056.6142578125,-80.478309631347656,6476.7578125,14401.5107421875,3444.782470703125,49444.40625
0.1,-12287.7607421875,3.6582961082458496,13.383130073547363,14401.7783203125,3444.846435546875,49444.40625
0.104,-12143.5185546875,100.15830993652344,10031.6875,14602.4111328125,3492.844970703125,49444.40625
0.108,-11825.3720703125,207.08061218261719,42882.375,15460.0595703125,3698.024169921875,49444.40625
0.112,-11947.966796875,321.9267578125,103636.8359375,17532.79296875,4193.89306640625,49444.40625
0.116,-12308.646484375,441.69638061523438,195095.703125,21434.708984375,5127.36572265625,49444.40625
0.12,-12168.9091796875,562.96746826171875,316932.40625,27773.35546875,6643.7880859375,49444.40625
0.124,-11876.154296875,681.99432373046875,465116.25,37075.6796875,8869.224609375,49444.40625
0.128,-11850.4296875,794.81915283203125,631737.5,49710.4296875,11891.8935546875,49444.40625
0.132,-12317.0625,897.3953857421875,805318.5,65816.796875,15745.0908203125,49444.40625
0.136,-12200.451171875,985.72119140625,971646.3125,85249.7265625,20394.119140625,49444.40625
0.14,-11947.7529296875,1055.974365234375,1115081.75,107551.359375,25729.43359375,49444.40625
0.144,-11796.8095703125,1104.6448974609375,1220240.375,131956.171875,31567.90625,49444.40625
0.148,-12319.6376953125,1128.6646728515625,1273884,157433.84375,37663.04296875,49444.40625
0.152,-12219.2158203125,1125.5269775390625,1266811,182770.078125,43724.34375,49444.40625
0.156,-11993.5283203125,1093.3861083984375,1195493,206679.953125,49444.40625,49444.40625
0.16,-11741.3779296875,1031.144287109375,1063258.625,227945.09375,54531.76953125,49444.40625
0.164,-12261.271484375,938.51727294921875,880814.6875,245561.375,58746.1796875,49444.40625
0.168,-12240.6982421875,816.0760498046875,665980.1875,258881,61932.69921875,49444.40625
0.172,-12032.6064453125,665.26025390625,442571.1875,267732.4375,64050.26953125,49444.40625
0.176,-11731.982421875,488.36563110351562,238500.96875,272502.4375,65191.41796875,49444.40625
0.18,-12162.685546875,288.50927734375,83237.6015625,274167.1875,65589.671875,49444.40625
0.184,-12259.9375,69.570053100585938,4839.9921875,274264,65612.8515625,49444.40625
0.188,-12088.3955078125,-163.90080261230469,26863.474609375,274801.25,65741.359375,49444.40625
0.192,-11758.9482421875,-406.78988647460938,165478,278110.84375,66533.1484375,49444.40625
0.196,-12057.7109375,-653.54559326171875,427121.84375,286653.25,68576.7734375,68576.7734375
0.2,-12280.2734375,-898.31671142578125,806972.875,302792.6875,72437.875,68576.7734375
0.204,-12144.4951171875,-1135.106201171875,1288466,328562,78602.796875,68576.7734375
0.208,-11829.9970703125,-1357.9345703125,1843986.375,365441.75,87425.7109375,68576.7734375
0.212,-11962.9404296875,-1560.996826171875,2436711.25,414175.90625,99084.5859375,68576.7734375
0.216,-12323.451171875,-1738.8199462890625,3023494.75,474645.15625,113550.9140625,68576.7734375
0.22,-12187.8408203125,-1886.4130859375,3558554,545813.8125,130576.9140625,68576.7734375
0.224,-11895.037109375,-1999.411865234375,3997647.5,625758.875,149702.5,68576.7734375
0.228,-11877.2529296875,-2074.20068359375,4302308,711784.3125,170282.75,68576.7734375
0.232,-12342.859375,-2108.013671875,4443721.5,800611.1875,191533.21875,68576.7734375
0.236,-12217.140625,-2099.020263671875,4405886.5,888632.6875,212590.96875,212590.96875
0.24,-11962.9873046875,-2046.3841552734375,4187688,972210.1875,232585.59375,212590.96875
