Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,-37108.78125,-72228.546875,-71954.0390625,-7196.92822265625,-68702.8984375,-68230.875,-30823.162109375,-55227.5234375
0.004,-37160.3984375,-72192.5,-71885.7109375,-7262.30224609375,-68662.4140625,-68247.296875,-30812.505859375,-55144.40625
0.008,-37527.63671875,-72034.796875,-71656.734375,-7639.2890625,-68580.7265625,-68500.921875,-31025.24609375,-54908.51953125
0.012,-37371.2109375,-72106.7734375,-71789.75,-7479.4052734375,-68612.2734375,-68426.9765625,-30977.943359375,-55054.86328125
0.016,-37136.60546875,-72213.859375,-71937.1640625,-7233.4765625,-68686.4375,-68242.9609375,-30842.94921875,-55209.83203125
0.02,-37133.69921875,-72195.25,-71895.25,-7238.34130859375,-68657.875,-68222.6484375,-30801.396484375,-55157.78125
0.024,-37468.0546875,-72064.4140625,-71684.8125,-7580.08984375,-68583.3515625,-68454.3125,-30986.025390625,-54936.53125
0.028,-37432.58203125,-72079.1640625,-71741.2109375,-7541.22802734375,-68590.1484375,-68464.0625,-31012.396484375,-54998.4921875
0.032,-37162.44921875,-72200.7890625,-71923.375,-7258.46337890625,-68670.609375,-68262.484375,-30861.85546875,-55181.7421875
0.036,-37111.73828125,-72208.671875,-71919.3515625,-7215.953125,-68665.5390625,-68210.4609375,-30798.33984375,-55166.0546875
0.04,-37385.4921875,-72108.3984375,-71743.234375,-7496.81103515625,-68600.8984375,-68396.734375,-30937.197265625,-54979.23828125
0.044,-37499.57421875,-72054.5,-71691.1875,-7613.9453125,-68567.546875,-68505.9140625,-31046.91796875,-54939.91796875
0.048,-37208.75,-72197.7265625,-71908,-7307.50634765625,-68664.984375,-68302.0625,-30892.96875,-55164.84375
0.052,-37100.21875,-72220.4609375,-71933.625,-7194.9248046875,-68678.4140625,-68199.6640625,-30799.55859375,-55189.46875
0.056,-37302.26171875,-72132.6640625,-71784.5625,-7407.1171875,-68623.5625,-68340.9765625,-30891.109375,-55038.17578125
0.06,-37557.01171875,-72030.171875,-71646.0390625,-7669.52099609375,-68560.9609375,-68543.4375,-31076.650390625,-54904.03125
0.064,-37242.75,-72178.109375,-71874.546875,-7337.66650390625,-68653.0390625,-68331.625,-30919.43359375,-55137.7109375
0.068,-37095.45703125,-72219.9765625,-71937.7890625,-7181.8359375,-68676.875,-68201.6015625,-30805.806640625,-55198.98828125
0.072,-37252.73828125,-72155.1015625,-71820.2734375,-7349.82568359375,-68627.984375,-68309.4609375,-30864.384765625,-55080.54296875
0.076,-37584.35546875,-72023.921875,-71641.0625,-7683.77880859375,-68566.796875,-68552.234375,-31081.91796875,-54885.5546875
0.08,-37107.5859375,-72236.9765625,-71984.296875,-7191.6826171875,-68721.2109375,-68225.546875,-30823.900390625,-55183.39453125
0.084,-37342.8125,-72161.75,-71871.921875,-7426.9296875,-68671.0234375,-68422.2109375,-30969.57421875,-55054.29296875
0.088,-37119.82421875,-72237.3515625,-71985.9765625,-7199.0732421875,-68726.0625,-68243.7734375,-30830.07421875,-55168.3671875
0.092,-37174.75,-72204.859375,-71923.4609375,-7262.9453125,-68700.5390625,-68273.109375,-30824.806640625,-55103.8046875
0.096,-37539.625,-72057.9765625,-71707.421875,-7636.9765625,-68622.234375,-68529.3984375,-31034.94921875,-54879.16796875
0.1,-37384.63671875,-72137.2265625,-71852.421875,-7473.4453125,-68665.046875,-68453.9375,-30992.9375,-55028.0625
0.104,-37138.91796875,-72237.3515625,-71997.7265625,-7216.74072265625,-68730.875,-68262.109375,-30845.646484375,-55169.9921875
0.108,-37149.5234375,-72234.0390625,-71962.984375,-7234.93212890625,-68703.4375,-68253.421875,-30810.40625,-55111.19921875
0.112,-37487.7734375,-72099.359375,-71758.109375,-7576.0849609375,-68619.796875,-68486.171875,-30995.134765625,-54886.9609375
0.116,-37456.54296875,-72118.6015625,-71823.3984375,-7539.4638671875,-68623,-68498.6015625,-31023.359375,-54954.91796875
0.12,-37175.84375,-72233.6640625,-71999.2265625,-7250.6435546875,-68697.7265625,-68291.8125,-30863,-55138.94921875
0.124,-37129.23828125,-72245,-72002.2109375,-7205.12890625,-68694.9140625,-68242.2734375,-30800.369140625,-55128.125
0.128,-37403.39453125,-72138.359375,-71829.109375,-7484.12646484375,-68632.1640625,-68429.3359375,-30938.462890625,-54948.48046875
0.132,-37514.57421875,-72090.125,-71788.1015625,-7605.21875,-68597.8515625,-68542.296875,-31049.68359375,-54904.80078125
0.136,-37209.20703125,-72226.734375,-71992.25,-7285.046875,-68682.671875,-68320.7109375,-30877.99609375,-55121.33203125
0.14,-37109.7109375,-72253.921875,-72020.7109375,-7184.76806640625,-68701,-68228.125,-30788.853515625,-55144.40625
0.144,-37320.09375,-72171.5234375,-71879.8984375,-7403.23193359375,-68646.9375,-68370.7734375,-30880.884765625,-54988.67578125
0.148,-37567.3046875,-72062.609375,-71740.4375,-7659.41259765625,-68583.25,-68565.0625,-31063.05859375,-54853.15625
0.152,-37249.26171875,-72209.234375,-71966.859375,-7321,-68673.6640625,-68349.796875,-30898.26171875,-55088.55078125
0.156,-37099.29296875,-72254.546875,-72031.0859375,-7172.27587890625,-68705.1640625,-68218.8359375,-30785.134765625,-55158.48046875
0.16,-37262.11328125,-72198.4375,-71916.2109375,-7343.0537109375,-68659.4609375,-68331.296875,-30844.525390625,-55030.8046875
0.164,-37576.9375,-72060.1875,-71725.5390625,-7669.8544921875,-68580.4375,-68566.5390625,-31051.99609375,-54838.65625
0.168,-37285.7109375,-72191.546875,-71944.0390625,-7362.53369140625,-68661.0859375,-68377.734375,-30911.49609375,-55065.46875
0.172,-37102.60546875,-72255.6015625,-72035.359375,-7176.13818359375,-68707.8359375,-68226.4375,-30788.63671875,-55158.88671875
0.176,-37221.8125,-72210.796875,-71946.0859375,-7299.37646484375,-68677.6875,-68305.609375,-30821.5625,-55061.3671875
0.18,-37568.76171875,-72054.0390625,-71716.2734375,-7664.75244140625,-68584.9765625,-68551.6640625,-31037.380859375,-54830.51171875
0.184,-37328.4375,-72164.921875,-71905.5,-7411.50390625,-68651.5234375,-68407.625,-30934.90625,-55037.29296875
0.188,-37117.76953125,-72250.3515625,-72029.2734375,-7188.65478515625,-68708.6015625,-68235.75,-30801.037109375,-55163.26953125
0.192,-37182.3359375,-72224.6484375,-71965.671875,-7260.7763671875,-68688.5390625,-68270.875,-30802.25,-55085.6875
0.196,-37539.91796875,-72073.4375,-71737.2734375,-7626.9873046875,-68596.75,-68518.9609375,-31007.103515625,-54843.59375
0.2,-37378.1484375,-72149.9609375,-71872,-7461.6435546875,-68634.5234375,-68440.125,-30958.96484375,-54987.98828125
0.204,-37143.875,-72256.609375,-72021.4375,-7213.3544921875,-68710.9765625,-68260.5859375,-30820.396484375,-55142.88671875
0.208,-37142.6796875,-72232.7734375,-71978.6875,-7219.45849609375,-68684.859375,-68243.8125,-30779.671875,-55090.09375
0.212,-37480.86328125,-72098.7109375,-71771.5,-7565.66650390625,-68614.3515625,-68476.6640625,-30963.306640625,-54865.4375
0.216,-37438.61328125,-72118.2890625,-71827.171875,-7523.25146484375,-68613.984375,-68481.4609375,-30985.16796875,-54931.1171875
0.22,-37174.9921875,-72240.546875,-72005.75,-7246.61474609375,-68695.125,-68284.6875,-30836.322265625,-55114.73046875
0.224,-37124.15625,-72239.5,-71994.9140625,-7199.7646484375,-68689.3359375,-68227.3984375,-30769.662109375,-55093.58203125
0.228,-37397.125,-72131.7890625,-71817.546875,-7484.6513671875,-68622.6015625,-68417.984375,-30908.849609375,-54904.30078125
0.232,-37501.1484375,-72080.2890625,-71776.984375,-7593.96630859375,-68588.8125,-68524.984375,-31014.37109375,-54867.60546875
0.236,-37206.5546875,-72226.6484375,-71987.25,-7277.10791015625,-68684.8984375,-68314.5859375,-30857.255859375,-55098.51953125
0.24,-37103.5859375,-72251.0390625,-72019.2734375,-7176.0185546875,-68703.625,-68221.125,-30765.84375,-55124.38671875
0.244,-37304.48046875,-72163.734375,-71871.4609375,-7386.42333984375,-68638.4765625,-68359.109375,-30851.271484375,-54968.2421875
0.248,-37555.71875,-72067.5390625,-71742.9765625,-7651.13916015625,-68584.796875,-68560.3125,-31038.646484375,-54836.4921875
0.252,-37240.9609375,-72216.734375,-71973.234375,-7316.3037109375,-68679.046875,-68345.5859375,-30874.662109375,-55075.3359375
0.256,-37088.5625,-72265.75,-72034.3515625,-7160.33056640625,-68707.875,-68213.0234375,-30760.52734375,-55138.42578125
0.26,-37242.53125,-72192.859375,-71912.6484375,-7326.4365234375,-68658.375,-68316.7109375,-30815.125,-55011.34375
0.264,-37572.45703125,-72063.7109375,-71732.4765625,-7664.1328125,-68590.3125,-68564.0390625,-31034.615234375,-54828.125
0.268,-37271.95703125,-72193.484375,-71947.2734375,-7353.54541015625,-68662.1484375,-68373.2109375,-30889.943359375,-55052.48046875
0.272,-37086.01171875,-72259.125,-72039.171875,-7163.66796875,-68707.375,-68218.1484375,-30764.55859375,-55150.70703125
0.276,-37189.08203125,-72203.609375,-71943.1484375,-7277.03662109375,-68666.1640625,-68283.0625,-30783.990234375,-55048.01953125
0.28,-37560.7734375,-72064.7890625,-71735.796875,-7654.1904296875,-68593.1484375,-68552.546875,-31017.328125,-54833.20703125
0.284,-37315.13671875,-72172.2890625,-71919.734375,-7396.74609375,-68646.4375,-68403.484375,-30911.474609375,-55026.32421875
0.288,-37102.2734375,-72256.6484375,-72042.984375,-7173.80078125,-68704.3515625,-68231.4375,-30775.978515625,-55152.4921875
0.292,-37158.94921875,-72224.546875,-71976.1875,-7239.1279296875,-68671.0859375,-68263.7265625,-30771.927734375,-55076.9609375
0.296,-37535.67578125,-72084.8359375,-71758.0390625,-7621.7412109375,-68596.7265625,-68532.3984375,-30992.822265625,-54856.66796875
0.3,-37363.01171875,-72147.25,-71881.109375,-7445.67041015625,-68622.8125,-68442.75,-30935.384765625,-54991.10546875
0.304,-37118.89453125,-72254.8359375,-72029.921875,-7189.06005859375,-68695.7890625,-68252.9140625,-30793.478515625,-55144.3359375
0.308,-37131.8125,-72242.7265625,-71995.5,-7203.36474609375,-68682.671875,-68247.3125,-30761.29296875,-55102.42578125
0.312,-37470.2734375,-72112.7890625,-71785.421875,-7553.625,-68604.9765625,-68482.234375,-30948.474609375,-54887.7734375
0.316,-37416.98828125,-72124.75,-71844.2734375,-7506.9912109375,-68608.8125,-68482.3125,-30967.35546875,-54947.66796875
0.32,-37151.3125,-72239.9609375,-72018,-7222.91552734375,-68691,-68281.171875,-30813.505859375,-55128.08203125
