Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,6876.3974609375,-37568.40625,10731.412109375,23576.619140625,-49448.61328125,-5277.89697265625,30368.166015625,-5427.2177734375
0.004,7189.56103515625,-36797.55078125,10725.880859375,23575.712890625,-48555.875,-4804.6591796875,29146.29296875,-4948.6875
0.008,7381.55859375,-36406.01953125,10842.0859375,23618.078125,-48088.625,-4541.68359375,28096.490234375,-4452.5859375
0.012,7300.06787109375,-36380.0546875,11107.015625,23620.869140625,-48027.51953125,-4571.72412109375,27212.66796875,-3889.036376953125
0.016,7226.87353515625,-36442.78125,11310.505859375,23704.48046875,-48094.13671875,-4582.09619140625,26276.162109375,-3389.072998046875
0.02,7553.50634765625,-36191.20703125,11322.140625,23916.078125,-47840.19921875,-4232.5263671875,25145.578125,-3056.240234375
0.024,7776.38037109375,-36026.60546875,11408.0439453125,24057.677734375,-47656.0859375,-4006.671875,24120.40234375,-2695.89453125
0.028,7777.78662109375,-36040.05078125,11664.0341796875,24137.880859375,-47648.0234375,-3994.65576171875,23351.02734375,-2306.151611328125
0.032,7631.06396484375,-36209.01953125,11948.5390625,24209.978515625,-47823.45703125,-4108.07177734375,22757.69921875,-1933.694091796875
0.036,7984.51953125,-35947.92578125,11966.5625,24446.87109375,-47562.19921875,-3736.639404296875,21980.384765625,-1745.2001953125
0.04,8259.4404296875,-35740.23828125,12038.6611328125,24611.59375,-47333.125,-3486.943359375,21347.380859375,-1561.498779296875
0.044,8300.662109375,-35718.13671875,12205.935546875,24686.052734375,-47287.8984375,-3446.221923828125,20839.025390625,-1312.875732421875
0.048,8089.11328125,-35933.16796875,12481.1171875,24701.453125,-47503.23828125,-3634.739501953125,20438.125,-1013.2791137695312
0.052,8413.482421875,-35697.08203125,12491.703125,24935.390625,-47267.65625,-3295.85107421875,19861.630859375,-862.5745849609375
0.056,8684.96875,-35492.20703125,12506.794921875,25084.712890625,-47051.125,-3051.996826171875,19338.25,-767.77947998046875
0.06,8750.5595703125,-35439.5625,12610.078125,25144.9375,-46967.125,-2992.53466796875,18966.60546875,-592.61328125
0.064,8534.0986328125,-35641.1484375,12896.013671875,25136.021484375,-47165.20703125,-3197.718017578125,18789.671875,-298.40472412109375
0.068,8823.896484375,-35410.38671875,12946.34375,25377.703125,-46938.85546875,-2885.938232421875,18517.828125,-132.94221496582031
0.072,9118.0341796875,-35186.08203125,13001.513671875,25558.259765625,-46704.6484375,-2625.27490234375,18219.474609375,-229.52558898925781
0.076,9280.6826171875,-35039.35546875,13165.7373046875,25689.79296875,-46519.6171875,-2476.71630859375,17996.21484375,-19.478799819946289
0.08,11454.630859375,-33615.6171875,15824.9404296875,28241.18359375,-45657.6875,-254.46418762207031,18749.931640625,-1766.7056884765625
0.084,4315.0185546875,-39994.86328125,7116.34228515625,20241.884765625,-51766.3046875,-7844.35400390625,10409.6669921875,154.59062194824219
0.088,3828.669189453125,-40407.0859375,7137.99072265625,19985.69921875,-52064.73828125,-8300.28125,9994.388671875,867.93914794921875
0.092,4029.6796875,-40258.26953125,7072.6875,20116.94921875,-51748.94921875,-8087.68359375,10382.890625,54.001811981201172
0.096,4338.7412109375,-39978.9609375,7191.77734375,20343.875,-51275.8984375,-7785.2734375,10781.5283203125,-321.29290771484375
0.1,4527.6162109375,-39757.04296875,7478.30859375,20553.734375,-50808.36328125,-7577.7060546875,10534.8359375,662.61297607421875
0.104,4337.50244140625,-39857.53125,7751.3701171875,20576.025390625,-50661.5625,-7731.08056640625,10069.466796875,2381.13427734375
0.108,4542.13671875,-39663.41796875,7585.90771484375,20706.943359375,-50241.59375,-7532.5732421875,9641.2421875,3275.346923828125
0.112,4398.27490234375,-39831.98046875,7154.56103515625,20425.369140625,-50286.0546875,-7752.2998046875,9335.8046875,2718.425048828125
0.116,4082.322265625,-40084.08203125,6738.2333984375,19998.12109375,-50364.1875,-8129.23974609375,7862.99755859375,4231.6435546875
0.12,3562.951171875,-40518.4296875,6706.5,19650.462890625,-50574.3984375,-8665.5625,8356.6435546875,4021.216064453125
0.124,3475.0703125,-40624.79296875,6518.53125,19586.77734375,-50501.4921875,-8714.724609375,8649.5654296875,3119.755126953125
0.128,3544.49755859375,-40589.1171875,6269.07421875,19530.083984375,-50269.1796875,-8674.716796875,8135.24853515625,2997.541748046875
0.132,3481.126220703125,-40625.98046875,6153.10693359375,19387.74609375,-50046.35546875,-8763.7919921875,7579.5419921875,3491.950439453125
0.136,3053.164794921875,-40983.39453125,6213.42724609375,19128.203125,-50143.625,-9174.919921875,7185.7216796875,3955.460205078125
0.14,3010.082763671875,-41014.125,6214.40478515625,19157.21875,-49973.13671875,-9194.779296875,6754.9951171875,4636.3359375
0.144,3394.55615234375,-40671.92578125,6315.51806640625,19405.416015625,-49430.23046875,-8872.341796875,6462.0732421875,5170.96630859375
0.148,3778.86328125,-40302.28125,6693.1015625,19746.306640625,-48836.85546875,-8531.404296875,6659.4599609375,5576.89697265625
0.152,3917.313232421875,-40140.3671875,7280.5888671875,20046.474609375,-48468.57421875,-8381.9873046875,7063.55615234375,6102.61083984375
0.156,4082.608642578125,-39982.15625,7758.5224609375,20411.32421875,-48152.375,-8165.24072265625,7424.71337890625,6489.15869140625
0.16,4726.625,-39421.25,8093.4765625,20954.896484375,-47440.29296875,-7541.91943359375,7827.6640625,6471.46728515625
0.164,5188.72802734375,-39007.48046875,8489.8955078125,21374.181640625,-46871.9296875,-7095.81494140625,8382.9423828125,6209.94677734375
0.168,5278.73046875,-38904.6171875,8893.2294921875,21573.28125,-46634.6484375,-6982.92333984375,8712.3173828125,6273.8662109375
0.172,4739.546875,-39403.03125,8758.4267578125,21253.494140625,-47074.91796875,-7468.15234375,8444.5,6120.63525390625
0.176,3733.92138671875,-40425.8046875,7176.54296875,20031.859375,-48031.1171875,-8531.8095703125,7005.93115234375,4315.7578125
0.18,3864.76513671875,-40327.40625,7146.76416015625,20072.556640625,-47786.40625,-8449.578125,7098.60400390625,3842.473388671875
0.184,3935.432861328125,-40241.8359375,7451.5107421875,20232.46484375,-47631.3125,-8347.130859375,7550.5498046875,3632.47412109375
0.188,3277.826904296875,-40857.01171875,7333.18359375,19859.744140625,-48302.0546875,-8903.646484375,7894.70703125,2464.366455078125
