Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06
0,-37108.78125,-0.059671640396118164,0.0035607046447694302,7.1214089985005558e-05,-0.55500686168670654,399.24276733398438
0.004,-37160.3984375,-0.52027356624603271,0.27068457007408142,0.0054849050939083099,-0.55371171236038208,23591.650390625
0.008,-37527.63671875,-2.2943668365478516,5.2641196250915527,0.11076728999614716,-0.52852457761764526,49395
0.012,-37371.2109375,-6.9791288375854492,48.708240509033203,1.0849320888519287,-0.29547080397605896,478221.15625
0.016,-37136.60546875,-16.725931167602539,279.75677490234375,6.6800675392150879,1.0430781841278076,664930.5
0.02,-37133.69921875,-33.93231201171875,1151.4019775390625,29.708108901977539,6.5521798133850098,2062226.625
0.024,-37468.0546875,-60.851898193359375,3702.953857421875,103.76718902587891,24.269662857055664,2062226.625
0.028,-37432.58203125,-99.274452209472656,9855.4169921875,300.87548828125,71.424766540527344,2914520
0.032,-37162.44921875,-150.32455444335938,22597.46875,752.82489013671875,179.546630859375,2914520
0.036,-37111.73828125,-214.28132629394531,45916.48828125,1671.1546630859375,399.24276733398438,2914520
0.04,-37385.4921875,-290.387451171875,84324.875,3357.65185546875,802.7109375,2914520
0.044,-37499.57421875,-376.7431640625,141935.421875,6196.36083984375,1481.827880859375,2914520
0.048,-37208.75,-470.3330078125,221213.125,10620.623046875,2540.263671875,2914520
0.052,-37100.21875,-567.11846923828125,321623.34375,17053.08984375,4079.131591796875,2914520
0.056,-37302.26171875,-662.14471435546875,438435.65625,25821.802734375,6176.9091796875,2914520
0.06,-37557.01171875,-749.70526123046875,562058,37062.9609375,8866.1826171875,2914520
0.064,-37242.75,-823.6004638671875,678317.8125,50629.32421875,12111.7236328125,2914520
0.068,-37095.45703125,-877.44189453125,769904.3125,66027.4140625,15795.4765625,2914520
0.072,-37252.73828125,-904.9505615234375,818935.5,82406.109375,19713.82421875,2914520
0.076,-37584.35546875,-900.25848388671875,810465.3125,98615.421875,23591.650390625,4240335
0.08,-37107.5859375,-858.22900390625,736557,113346.5625,27115.849609375,4240335
0.084,-37342.8125,-774.77227783203125,600272,125352,29987.962890625,4240335
0.088,-37119.82421875,-647.11376953125,418756.1875,133727.125,31991.578125,4240335
0.092,-37174.75,-474.01235961914062,224687.71875,138220.875,33066.64453125,4240335
0.096,-37539.625,-255.92866516113281,65499.48046875,139530.875,33380.03125,4240335
0.1,-37384.63671875,4.8583717346191406,23.603775024414062,139531.34375,33380.1484375,4240335
0.104,-37138.91796875,304.203125,92539.5390625,141382.125,33822.91796875,4240335
0.108,-37149.5234375,636.12384033203125,404653.5,149475.203125,35759.0625,4240335
0.112,-37487.7734375,992.9100341796875,985870.3125,169192.59375,40476.14453125,4240335
0.116,-37456.54296875,1365.298828125,1864040.75,206473.421875,49395,4240335
0.12,-37175.84375,1742.7095947265625,3037036.75,267214.15625,63926.2734375,4240335
0.124,-37129.23828125,2113.534423828125,4467028,356554.6875,85299.609375,4240335
0.128,-37403.39453125,2465.48779296875,6078630.5,478127.34375,114383.9765625,5685002.5
0.132,-37514.57421875,2785.996826171875,7761778.5,633362.875,151521.671875,5685002.5
0.136,-37209.20703125,3062.610595703125,9379584,820954.5,196400.046875,5685002.5
0.14,-37109.7109375,3283.412109375,10780795,1036570.5,247982.828125,5685002.5
0.144,-37320.09375,3437.432861328125,11815944,1272889.375,304518.4375,5685002.5
0.148,-37567.3046875,3515.05859375,12355637,1520002,363636.25,5685002.5
0.152,-37249.26171875,3508.40771484375,12308925,1766180.625,422530.6875,5685002.5
0.156,-37099.29296875,3411.642578125,11639304,1998966.625,478221.15625,5685002.5
0.16,-37262.11328125,3221.235107421875,10376357,2206493.5,527868.6875,5685002.5
0.164,-37576.9375,2936.173828125,8621117,2378916,569118,5685002.5
0.168,-37285.7109375,2558.10888671875,6543921.5,2509794.75,600428.8125,5882301.5
0.172,-37102.60546875,2091.395263671875,4373934.5,2597273.25,621356.6875,5882301.5
0.176,-37221.8125,1543.053466796875,2381014,2644893.5,632749,5882301.5
0.18,-37568.76171875,922.66632080078125,851313.1875,2661919.5,636822.3125,5882301.5
0.184,-37328.4375,242.19943237304688,58660.5625,2663093.25,637103,5882301.5
0.188,-37117.76953125,-484.26620483398438,234513.75,2667783.25,638225,5882301.5
0.192,-37182.3359375,-1240.8763427734375,1539774,2698578.75,645592.375,5882301.5
0.196,-37539.91796875,-2010.3922119140625,4041676.75,2779412,664930.5,5882301.5
0.2,-37378.1484375,-2774.615234375,7698489.5,2933382,701765.375,5882301.5
0.204,-37143.875,-3514.86279296875,12354261,3180467.25,760876.8125,5882301.5
0.208,-37142.6796875,-4212.46728515625,17744880,3535364.75,845780.5,5882301.5
0.212,-37480.86328125,-4849.28271484375,23515542,4005674.75,958294.8125,5882301.5
0.216,-37438.61328125,-5408.1669921875,29248268,4590634.5,1098237.375,5882301.5
0.22,-37174.9921875,-5873.45166015625,34497432,5280560,1263291.375,5882301.5
0.224,-37124.15625,-6231.38916015625,38830208,6057090.5,1449064.375,5925192
0.228,-37397.125,-6470.546875,41867980,6894252,1649342,5925192
0.232,-37501.1484375,-6582.1318359375,43324460,7760290.5,1856528.375,5289181.5
0.236,-37206.5546875,-6560.2490234375,43036864,8620109,2062226.625,5289181.5
0.24,-37103.5859375,-6402.09619140625,40986836,9438158,2257932,5289181.5
0.244,-37304.48046875,-6108.08056640625,37308652,10181493,2435763.25,5289181.5
0.248,-37555.71875,-5681.83203125,32283216,10822733,2589170,5289181.5
0.252,-37240.9609375,-5130.1435546875,26318374,11342669,2713556.75,5289181.5
0.256,-37088.5625,-4462.8310546875,19916860,11732237,2806754.75,5289181.5
0.26,-37242.53125,-3692.514892578125,13634667,11993688,2869302.75,5289181.5
0.264,-37572.45703125,-2834.326904296875,8033409.5,12140790,2904494.75,5289181.5
0.268,-37271.95703125,-1905.546875,3631109.25,12198014,2918184.75,4193984.75
0.272,-37086.01171875,-925.193359375,855982.8125,12198757,2918362.75,4193984.75
0.276,-37189.08203125,86.429367065429688,7470.03515625,12182696,2914520,4193984.75
0.28,-37560.7734375,1108.2174072265625,1228145.75,12192528,2916872,4193984.75
0.284,-37315.13671875,2118.774169921875,4489204,12270307,2935479.5,4193984.75
0.288,-37102.2734375,3096.91943359375,9590910,12453750,2979365.5,4193984.75
0.292,-37158.94921875,4022.190673828125,16178019,12772816,3055697.25,2556917.5
0.296,-37535.67578125,4875.31494140625,23768698,13246880,3169109.5,2556917.5
0.3,-37363.01171875,5638.66015625,31794490,13882771,3321236.75,2556917.5
0.304,-37118.89453125,6296.640625,39647680,14673872,3510495.25,2556917.5
0.308,-37131.8125,6836.0537109375,46731636,15600413,3732155.5,2556917.5
0.312,-37470.2734375,7246.37109375,52509900,16630893,3978682,2556917.5
0.316,-37416.98828125,7519.953125,56549696,17724604,4240335,2556917.5
