Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,2.4444702830805909e-06,7.298905256902799e-05,5.9541816881392151e-06,2.8741891583194956e-05,0.00012644892558455467,1.4410385347218835e-06,4.7686760808574036e-05,1.5237146726576611e-06
0.004,0.00019016007718164474,0.0055937618017196655,0.00045839278027415276,0.0022129821591079235,0.009696262888610363,0.00010871297854464501,0.0036382984835654497,0.00011498938692966476
0.008,0.0038801948539912701,0.11231744289398193,0.0092538325116038322,0.044659364968538284,0.19480547308921814,0.0021456195972859859,0.072652138769626617,0.0022654861677438021
0.012,0.038383148610591888,1.0934995412826538,0.090652942657470703,0.43701615929603577,1.8976520299911499,0.020529910922050476,0.70272493362426758,0.021562069654464722
0.016,0.23844294250011444,6.6937928199768066,0.5587615966796875,2.6882705688476562,11.622248649597168,0.12361757457256317,4.269439697265625,0.12855836749076843
0.02,1.0688024759292603,29.611398696899414,2.4902796745300293,11.946932792663574,51.436279296875,0.53853261470794678,18.726232528686523,0.55194026231765747
0.024,3.7600085735321045,102.93843841552734,8.7253570556640625,41.713153839111328,178.87875366210938,1.8452953100204468,64.478317260742188,1.8559360504150391
0.028,10.976643562316895,297.20150756835938,25.398107528686523,120.94505310058594,516.63848876953125,5.2538442611694336,184.19743347167969,5.1672782897949219
0.032,27.650030136108398,740.7601318359375,63.836418151855469,302.71499633789062,1288.1207275390625,12.914929389953613,453.80322265625,12.384933471679688
0.036,61.798023223876953,1638.5347900390625,142.42243957519531,672.40985107421875,2850.16162109375,28.171117782592773,991.22821044921875,26.272686004638672
0.04,125.03647613525391,3281.218017578125,287.73770141601562,1352.259765625,5709.23828125,55.613739013671875,1958.1829833984375,50.317913055419922
0.044,232.43954467773438,6036.35693359375,534.20654296875,2498.576904296875,10506.1455078125,100.81154632568359,3550.245361328125,88.273841857910156
0.048,401.48080444335938,10315.341796875,921.62371826171875,4289.0458984375,17958.724609375,169.63838195800781,5972.85693359375,143.39404296875
0.052,649.9296875,16514.666015625,1490.2822265625,6899.10400390625,28759.703125,267.21478271484375,9403.9296875,217.46444702148438
0.056,992.7568359375,24934.83984375,2273.837158203125,10468.4404296875,43435.5234375,396.56878662109375,13946.974609375,309.81610107421875
0.06,1438.3773193359375,35687.67578125,3290.67333984375,15061.6923828125,62184.60546875,557.24267578125,19582.765625,416.58099365234375
0.064,1984.8795166015625,48610.33203125,4535.2958984375,20630.677734375,84727.234375,744.18719482421875,26131.546875,530.50213623046875
0.068,2617.08740234375,63208.73828125,5971.6943359375,26987.416015625,110206.2109375,947.3167724609375,33238.6484375,641.5546875
0.072,3305.324951171875,78651.4140625,7530.6826171875,33797.01171875,137175.21875,1152.0364990234375,40394.17578125,738.50128173828125
0.076,4006.662841796875,93831.3125,9113.044921875,40598.10546875,163705.546875,1340.9478759765625,46993.51953125,811.33709716796875
0.08,4669.2421875,107505.734375,10599.8017578125,46856.10546875,187628.84375,1496.772216796875,52439.6171875,854.41424560546875
0.084,5239.76953125,118511.5234375,11869.8017578125,52048.8984375,206911.578125,1606.3125,56279.29296875,869.79766845703125
0.088,5673.51025390625,126037.875,12823.1123046875,55777.89453125,220129.796875,1665.091796875,58357.11328125,870.197265625
0.092,5945.7646484375,129923.734375,13407.9580078125,57892.04296875,226986.875,1681.892333984375,58965.16796875,880.7811279296875
0.096,6063.99072265625,130932.9140625,13648.8330078125,58610.09375,228794.21875,1681.9228515625,58965.5625,939.31689453125
0.1,6079.55615234375,130953.8359375,13672.865234375,58623.44921875,228823.703125,1707.333984375,59860.78125,1094.271484375
0.104,6097.546875,133073.578125,13730.3984375,59159.5546875,232445.59375,1814.3792724609375,63788.1875,1400.7454833984375
0.108,6282.3974609375,141489.421875,14204.802734375,61986.44921875,246986.953125,2067.33349609375,73420.2265625,1914.526123046875
0.112,6856.9765625,161240.59375,15606.5830078125,69342.421875,281277.9375,2529.98388671875,91762.7734375,2684.97216796875
0.116,8093.3505859375,197765.921875,18548.271484375,83784.3515625,344894.15625,3255.844482421875,121859.7265625,3747.703857421875
0.12,10294.4140625,256319.125,23699.162109375,107958.375,447145.5,4278.51025390625,166427.46875,5118.11572265625
0.124,13766.6484375,341298.59375,31721.3125,144308.828125,595909.5,5603.78271484375,227456.203125,6786.515625
0.128,18785.603515625,455568.90625,43191.2734375,194752.203125,796438.8125,7205.0341796875,305826.15625,8715.4765625
0.132,25557.412109375,599863.5,58515.39453125,260354.296875,1050297.75,9022.7626953125,400995.09375,10839.9111328125
0.136,34180.7734375,772358.1875,77848.9140625,341053.25,1354587.75,10968.755859375,510811.90625,13070.349609375
0.14,44614.34375,968491.875,101029.9375,435471.6875,1701593.625,12934.794921875,631502,15299.5263671875
0.144,56654.67578125,1181097.625,127539.5390625,540855.8125,2078964,14805.0234375,757854.875,17412.046875
0.148,69930.0625,1400861.75,156498.171875,653170.5,2470471.5,16470.44921875,883625.1875,19296.677734375
0.152,83913.875,1617103,186705.84375,767365,2857333.25,17843.63671875,1002126.875,20860.150390625
0.156,97959.046875,1818810.375,216727.84375,877797.5,3220000,18871.59375,1106975.75,22040.849609375
0.16,111353.109375,1995850.375,245023.34375,978794.6875,3540268.75,19544.916015625,1192906.75,22820.712890625
0.164,123391.1875,2140221.25,270109.25,1065297.75,3803493.5,19901.57421875,1256586.375,23233.8125
0.168,133461.46875,2247212,290746,1133538.625,4000669.5,20024.380859375,1297318.625,23370.318359375
0.172,141135.125,2316326,306127.1875,1181663,4130124.75,20032.103515625,1317556,23374.984375
0.176,146251.296875,2351837.25,316051.40625,1210236.375,4198600,20065.25,1323127,23439.94921875
0.18,148986.25,2362892,321055.15625,1222550.625,4221546.5,20268.337890625,1323127,23792.390625
0.184,149896.921875,2363107.5,322484.15625,1224683.625,4222531,20771.197265625,1329441.625,24678.244140625
0.188,149927.578125,2369665.5,322486.09375,1225263.375,4231760,21672.134765625,1355909.75,26343.400390625
0.192,150374.875,2401964.75,323912.75,1234936.625,4283786.5,23025.18359375,1417179.625,29014.302734375
0.196,152808.046875,2479945.5,330132,1265563.375,4414594.5,24833.12109375,1527352.375,32879.55078125
0.2,158948.203125,2622226.75,344758.6875,1329196,4658316,27046.962890625,1698533.625,38074.01953125
0.204,170515.421875,2844236.75,371325.34375,1436932.75,5043870.5,29571.88671875,1939443.625,44666.73828125
0.208,189056.375,3156529.25,412921.9375,1597750,5591867,32278.744140625,2254233.5,52653.2109375
0.212,215769.921875,3563452.75,471841.15625,1817438.625,6312100,35019.45703125,2641649.5,61952.55078125
0.216,251348.703125,4062330,549265.6875,2097756,7201889.5,37644.32421875,3094651.25,72409.171875
0.22,295855.25,4643244,645036.375,2435897.25,8245483,40019.16796875,3600560.75,83799.2109375
0.224,348648.40625,5289487,757530.3125,2824360.75,9414637,42040,4141757.5,95840.8515625
0.228,408373.15625,5978650.5,883672.375,3251253.25,10670333,43643.2734375,4696905.5,108208.0234375
0.232,473023.4375,6684265.5,1019095.375,3701036,11965555,44810.0859375,5242621.5,120545.6875
0.236,540076.3125,7377874.5,1158442.375,4155673.25,13248869,45564.5,5755469.5,132486.546875
0.24,606690.5,8031350.5,1295792.75,4596090.5,14468547,45966.7109375,6214092,143669.171875
0.244,669953,8619283,1425176.75,5003827,15576891,46102.6796875,6601299,153758.203125
0.248,727149.875,9121206,1541130.375,5362727,16534371,46071.91796875,6905897.5,162466.09375
0.252,776035.8125,9523483,1639238.625,5660505.5,17313226,45975.19921875,7124070.5,169576.796875
0.256,815075.3125,9820670,1716612,5890041.5,17900192,45904.11328125,7260165.5,174969.921875
0.26,843626.8125,10016222,1772243.375,6050261.5,18298102,45933.34375,7326755,178645.796875
0.264,862047.8125,10122475,1807196.375,6146491,18526176,46116.3359375,7343951,180748.875
0.268,871705,10159862,1824607,6190237.5,18618924,46484.04296875,7337962.5,181589.25
0.272,874887.1875,10155424,1829481.75,6198380,18623740,47045.875,7339029.5,181657.421875
0.276,874623.1875,10140710,1828310.375,6191852,18597260,47792.11328125,7378890.5,181630.625
0.28,874424.5,10149208,1828523,6193896,18600874,48696.9609375,7487992,182366
0.284,877971,10213547,1837838.375,6228045.5,18695612,49722.11328125,7692682.5,184880.421875
0.288,888766.375,10362702,1863550.625,6316011,18936998,50819.9609375,8012646.5,190316.875
0.292,909795.375,10619445,1911829,6475653.5,19370150,51935.69921875,8458838,199897.59375
0.296,943222.3125,10998256,1987100.625,6719246.5,20025724,53008.19921875,9032123,214861.25
0.3,990162.5,11503896,2091584.375,7052225.5,20916934,53970.92578125,9722814,236383.671875
0.304,1050558,12130774,2225032,7472534.5,22038010,54753.86328125,10511190,265481.65625
0.308,1123165.625,12863163,2384704.75,7970658.5,23364240,55287.4609375,11368912,302906.5
0.312,1205660.75,13676312,2565577.5,8530342,24853660,55508.6171875,12261315,349034.6875
0.316,1294847.375,14538357,2760770,9129926,26450246,55367.8671875,13150277,403767.25
0.32,1386946.625,15412854,2962144,9744190,28088394,54836.875,13997486,466448.6875
0.324,1477940.625,16261787,3161016.75,10346518,29698266,53914.80078125,14767742,535820.875
0.328,1563930.75,17048716,3348920,10911197,31211594,52632.23046875,15431997,610025.875
0.332,1641476.375,17741856,3518326.75,11415590,32567344,51051.8359375,15969845,686666.3125
0.336,1707878.625,18316736,3663275.5,11842054,33716832,49265.57421875,16371216,762931.5
0.34,1761386.75,18758268,3779842.75,12179325,34627704,47388.45703125,16637104,835790.1875
0.344,1801303.75,19061958,3866401.25,12423318,35286516,45550.2734375,16779244,902241.3125
0.348,1827986.75,19234188,3923666,12577246,35699544,43886.3359375,16818800,959609.6875
0.352,1842746.75,19291520,3954517.25,12651046,35891968,42529.01953125,16784170,1005858
0.356,1847665.75,19259068,3963626,12660195,35905140,41601.36328125,16708136,1039889
0.36,1845345,19168086,3956930.75,12624040,35792536,41213.64453125,16624670,1061801
0.364,1838620,19053008,3941009.5,12563806,35614668,41463.08203125,16565643,1073065
0.368,1830266.625,18948246,3922416,12500472,35433236,42436.08203125,16557816,1076591.75
0.372,1822725.375,18884944,3907048,12452734,35305472,44211.63671875,16620392,1076664.75
0.376,1817875.625,18888166,3899593.25,12435246,35278816,46863.76953125,16763325,1078729.375
0.38,1816871.625,18974608,3903120.75,12457309,35386720,50461.01171875,16986572,1089040.75
0.384,1820057.75,19151180,3918838.75,12522115,35645812,55060.98828125,17280348,1114187.75
0.388,1826968.625,19414522,3946044,12626621,36054688,60699.4609375,17626330,1160528.625
0.392,1836410,19751478,3982270,12762069,36594548,67374.421875,17999670,1233586
0.396,1846613,20140556,4023601.25,12915061,37231348,75027.5390625,18371664,1337457.375
0.4,1855443.625,20554112,4065136,13069096,37919540,83526.5,18712700,1474301
0.404,1860648,20961116,4101538.75,13206406,38606732,92652.8125,18995286,1643959.375
0.408,1860109.75,21330202,4127632,13309888,39238976,102098.875,19196780,1843764.625
0.412,1852093,21632704,4138967.25,13364950,39766132,111478.8984375,19301622,2068566.75
0.416,1835450,21845404,4132315.25,13361086,40146648,120355.3125,19302752,2310995.25
0.42,1809776.375,21952678,4106041.25,13293019,40351596,128280.9609375,19202252,2561947.5
0.424,1775494.625,21947900,4060309.25,13161288,40367188,134854.703125,19010950,2811279.25
0.428,1733861.375,21833946,3997111.5,12972261,40195916,139786.5,18747210,3048629.5
0.432,1686890.75,21622780,3920107.5,12737499,39856000,142964.71875,18434950,3264332
