Time, Ch01, Ch02, Ch03, Ch04, Ch05
0,-33147.29296875,-0.05330166220664978,0.0028410672675818205,5.6821347243385389e-05,1297.2183837890625
0.004,-32633.068359375,-0.46383309364318848,0.21514113247394562,0.0043596439063549042,76101.9609375
0.008,-32385.759765625,-2.0406622886657715,4.164301872253418,0.087645687162876129,159424.703125
0.012,-32712.271484375,-6.192164421081543,38.3428955078125,0.85450351238250732,1541660.625
0.016,-33204.98828125,-14.807284355163574,219.25569152832031,5.2396178245544434,2142306.75
0.02,-32701.63671875,-29.987691879272461,899.2615966796875,23.224849700927734,2142306.75
0.024,-32383.23046875,-53.708885192871094,2884.64404296875,80.917724609375,2142306.75
0.028,-32610.587890625,-87.538246154785156,7662.9443359375,234.17660522460938,2142306.75
0.032,-33210.8046875,-132.45626831054688,17544.662109375,585.06982421875,2142306.75
0.036,-32782.125,-188.69926452636719,35607.41796875,1297.2183837890625,2142306.75
0.04,-32411.365234375,-255.59358215332031,65328.08203125,2603.780029296875,2142306.75
0.044,-32536.484375,-331.463134765625,109867.8125,4801.1357421875,2142306.75
0.048,-33186.2421875,-413.65350341796875,171109.21875,8223.3203125,2142306.75
0.052,-32870.69921875,-498.61273193359375,248614.671875,13195.6142578125,2142306.75
0.056,-32451.275390625,-581.9852294921875,338706.84375,19969.75,2142306.75
0.06,-32481.103515625,-658.75750732421875,433961.4375,28648.98046875,2142306.75
0.064,-33118.03125,-723.4857177734375,523431.59375,39117.61328125,2142306.75
0.068,-32958.39453125,-770.5634765625,593768,50992.96875,2142306.75
0.072,-32504.55859375,-794.4818115234375,631201.375,63617,2142306.75
0.076,-32446.556640625,-790.0936279296875,624247.875,76101.9609375,2142306.75
0.08,-32676.69921875,-752.89678955078125,566853.5,87439.0234375,2142306.75
0.084,-33222.53125,-679.3095703125,461461.5,96668.25,2142306.75
0.088,-32833.4609375,-566.9056396484375,321382,103095.8984375,2142306.75
0.092,-32436.609375,-414.60507202148438,171897.34375,106533.8515625,2142306.75
0.096,-32531.66796875,-222.82821655273438,49652.41796875,107526.8984375,2142306.75
0.1,-33174.3984375,6.4041433334350586,41.013050079345703,107527.7109375,2142306.75
0.104,-32906.84375,269.436279296875,72595.9140625,108979.625,2142306.75
0.108,-32478.953125,561.005859375,314727.59375,115274.171875,2142306.75
0.112,-32478.859375,874.33380126953125,764459.6875,130563.375,6646190.5
0.116,-33100.9375,1201.2769775390625,1443066.375,159424.703125,6646190.5
0.12,-33007.88671875,1532.538818359375,2348675.25,206398.203125,6646190.5
0.124,-32533.07421875,1857.9273681640625,3451894,275436.09375,6646190.5
0.128,-32438.521484375,2166.658203125,4694408,369324.25,6646190.5
0.132,-32980.96875,2447.697998046875,5991225.5,489148.75,6646190.5
0.136,-33096.08203125,2690.120361328125,7236747,633883.6875,6646190.5
0.14,-32599.44921875,2883.47265625,8314414.5,800172,6646190.5
0.144,-32417.802734375,3018.139892578125,9109168,982355.375,6646190.5
0.148,-32838.73046875,3085.697265625,9521528,1172785.75,6646190.5
0.152,-33176.64453125,3079.240234375,9481720,1362420.375,6646190.5
0.156,-32678.177734375,2993.661376953125,8962008,1541660.625,6646190.5
0.16,-32407.09375,2825.880859375,7985602.5,1701372.625,6646190.5
0.164,-32700.208984375,2575.03271484375,6630793.5,1833988.375,6646190.5
0.168,-33234.71875,2242.582763671875,5029177.5,1934572,6646190.5
0.172,-32755.234375,1832.3695068359375,3357578,2001723.625,6646190.5
0.176,-32412.009765625,1350.572021484375,1824044.75,2038204.375,6646190.5
0.18,-32612.0625,805.61798095703125,649020.3125,2051184.75,6646190.5
0.184,-33223.25,208.02304077148438,43273.5859375,2052050.375,6646190.5
0.188,-32834.71875,-429.84359741210938,184765.5,2055745.625,6646190.5
0.192,-32450.490234375,-1094.059326171875,1196965.75,2079684.75,6646190.5
0.196,-32537.890625,-1769.4879150390625,3131087.5,2142306.75,6646190.5
0.2,-33174.46875,-2440.153564453125,5954349.5,2261393.5,6646190.5
0.204,-32913.78125,-3089.658203125,9545989,2452313.5,9386862
0.208,-32487.896484375,-3701.625,13702029,2726354,9386862
0.212,-32480.12109375,-4260.1318359375,18148726,3089327.5,9386862
0.216,-33090.66796875,-4750.1435546875,22563866,3540600.75,9386862
0.22,-33004.45703125,-5157.91796875,26604118,4072665.25,9386862
0.224,-32550.384765625,-5471.40625,29936284,4671333.5,9386862
0.228,-32440.259765625,-5680.5888671875,32269088,5316561.5,9386862
0.232,-32965.0625,-5777.765625,33382576,5983862.5,9386862
0.236,-33090.57421875,-5757.77880859375,33152016,6646190.5,9386862
0.24,-32616.380859375,-5618.18896484375,31564048,7276164,9386862
0.244,-32418.609375,-5359.37109375,28722858,7848424,9386862
0.248,-32819.80078125,-4984.53125,24845552,8341913.5,9386862
0.252,-33188.7734375,-4499.64453125,20246800,8741877,9386862
0.256,-32691.912109375,-3913.34375,15314259,9041389,9386862
0.26,-32404.828125,-3236.71875,10476349,9242237,9386862
0.264,-32692.48046875,-2483.063232421875,6165603,9355078,9386862
0.268,-33239.8671875,-1667.550537109375,2780724.75,9398819,9386862
0.272,-32759.26171875,-806.8802490234375,651055.8125,9399214,9386862
